id_historial,id_terreno,Nombre_cultivo,familia,fecha_siembra,fecha_cosecha,rendimiento_kg_total,margen_neto_total (€),unidades_sembradas_total,modo_producción,tipo_cliente_objetivo,observaciones
1,11,Calabacín,Liliácea,2023-02-17,2023-04-18,1400.87,536.2 €,6626.0,mecanizado,autoconsumo,Recomendado realizar análisis foliar en próximas campañas.
2,16,Habas,Solanácea,2022-02-28,2022-06-23,1650.4,478.93 €,4832.0,mixto,autoconsumo,Necesidad de mejora en drenaje superficial.
3,20,Coliflor,Quenopodiácea,2022-03-13,2022-06-12,408.13,114.2 €,8162.0,mixto,mayorista,Se detectaron signos de clorosis férrica.
4,6,Pepino,Solanácea,2024-02-05,2024-06-02,983.75,240.66 €,8965.0,mecanizado,hostelería,Excelente uniformidad de fruto.
5,7,Pimiento,Leguminosa,2024-04-13,2024-07-29,1183.52,296.85 €,9724.0,mecanizado,autoconsumo,Buen desarrollo vegetativo durante el ciclo.
6,6,Mostaza verde,Apiácea,2024-02-23,2024-05-07,1228.27,371.59 €,5469.0,mecanizado,hostelería,Condiciones de suelo óptimas para desarrollo radicular.
7,20,Berenjena,Apiácea,2023-05-22,2023-09-18,2217.0,863.37 €,12470.0,mixto,mayorista,Condiciones de suelo óptimas para desarrollo radicular.
8,5,Pimiento,Quenopodiácea,2023-05-12,2023-07-14,948.71,267.28 €,12096.0,manual,venta directa,Producción afectada por heladas tempranas.
9,10,Cebolla,Asterácea,2024-02-06,2024-05-24,335.42,141.23 €,3144.0,mecanizado,venta directa,Buen desarrollo vegetativo durante el ciclo.
10,17,Apio,Asterácea,2023-05-02,2023-07-28,1400.2,479.84 €,6596.0,mixto,venta directa,Se detectaron signos de clorosis férrica.
11,2,Espinaca,Solanácea,2022-02-20,2022-05-31,794.91,393.27 €,9775.0,mecanizado,hostelería,Recomendado realizar análisis foliar en próximas campañas.
12,17,Berenjena,Liliácea,2022-05-25,2022-09-03,625.71,200.71 €,10501.0,mecanizado,hostelería,Alta incidencia de oídio mitigada con tratamiento ecológico.
13,10,Lechuga,Apiácea,2023-02-13,2023-05-19,1282.12,534.65 €,2233.0,mixto,venta directa,Recomendado realizar análisis foliar en próximas campañas.
14,17,Pepino,Leguminosa,2024-02-27,2024-05-19,1918.76,920.07 €,10795.0,mecanizado,mayorista,Recomendado realizar análisis foliar en próximas campañas.
15,4,Cebolla,Quenopodiácea,2022-05-12,2022-09-08,358.43,100.12 €,1911.0,manual,venta directa,Se detectaron signos de clorosis férrica.
16,20,Bledo,Leguminosa,2024-04-23,2024-07-08,1908.01,911.61 €,5007.0,manual,mayorista,Necesidad de mejora en drenaje superficial.
17,10,Puerro,Quenopodiácea,2023-03-12,2023-06-05,620.68,138.38 €,13090.0,mixto,autoconsumo,Producción afectada por heladas tempranas.
18,5,Col rizada,Asterácea,2024-02-21,2024-06-05,839.71,283.05 €,14944.0,mixto,hostelería,Cosecha anticipada por previsión climática adversa.
19,7,Ajo,Quenopodiácea,2023-02-18,2023-06-06,690.87,185.53 €,13901.0,mixto,venta directa,Necesidad de mejora en drenaje superficial.
20,2,Tomate,Liliácea,2024-04-28,2024-07-19,2698.85,809.89 €,4964.0,mixto,venta directa,Alta incidencia de oídio mitigada con tratamiento ecológico.
21,9,Remolacha,Asterácea,2024-03-14,2024-05-13,2629.4,799.77 €,13612.0,mecanizado,mayorista,Condiciones de suelo óptimas para desarrollo radicular.
22,17,Rábano,Liliácea,2024-02-28,2024-05-09,2194.27,592.83 €,14740.0,mixto,mayorista,Condiciones de suelo óptimas para desarrollo radicular.
23,15,Ajo,Asterácea,2022-04-03,2022-07-06,1937.56,689.96 €,9262.0,mixto,venta directa,Se detectaron signos de clorosis férrica.
24,10,Puerro,Leguminosa,2024-05-25,2024-08-31,671.2,259.72 €,10198.0,mecanizado,venta directa,Necesidad de mejora en drenaje superficial.
