id_recurso,nombre_recurso,tipo,cantidad,id_terreno
1,"Pasquali Siena 35 AR (35 CV, ideal <3000m²)",Maquinaria,1,
2,"Tractor John Deere Serie 5 (75-100 CV, ideal 3000–10000m²)",Maquinaria,2,
3,"Deutz-Fahr Agrotron 6 (100-140 CV, ideal >10000m²)",Maquinaria,1,
4,"Sistema de riego por goteo (localizado, eficiente)",Equipamiento,1,
5,Sistema de riego por microaspersión (neblina localizada),Equipamiento,1,
6,Sistema de riego por exudación (tubería porosa),Equipamiento,1,
7,Sistema de riego con fertirrigación (agua + nutrientes),Equipamiento,1,
8,Sembradora de precisión,Maquinaria,1,
9,Invernadero modular,Infraestructura,2,
10,Sistema de fertirrigación,Equipamiento,1,
11,Motocultor Honda F560,Maquinaria,1,
12,Sensores de humedad de suelo,Equipamiento,4,
13,Cuadrilla de jornaleros agrícolas,Mano de obra,6,
14,Almacén de insumos agrícolas,Infraestructura,1,
15,Estación meteorológica local,Equipamiento,1,
16,Reservadora mecánica,Infraestructura,1,
17,Reservadora térmica,Infraestructura,1,
18,Desbrozadora,Maquinaria,2,
19,Acolchadora,Maquinaria,1,
20,Plantador,Maquinaria,2,
21,Azada,Maquinaria,3,
22,Rastrillo,Maquinaria,2,
